Domain Name,,
Python,,
,
Deliverables,,
Demo Video in .mp4 Format (not more than 5 mins ),,
Code (Python/.pbix/.twb file & GitHub Link​),,
Project Report,,
Project Schedule,,
Development Log,,
WBS,,
RAID Log,,
Lessons Learnt Log,,
Requirement Elicitation Questionnaire
